RequestID,RequestDateKey,ClosedDateKey,ClientID,AdvisorID,EmployerID,RequestType,Touchpoint,Severity,SLA_Days,ActualDays,ResolutionStatus,CSAT
REQ413806945998,20240220,,CLT188730429,ADV9813773,EMP09346608,Claim Inquiry,Call Centre,Low,2,,Pending,
REQ598386775456,20251213,,CLT508669618,ADV3623181,,Address Change,Client Portal/App,Medium,3,,Pending,
REQ507577149050,20250121,20250202,CLT019311155,ADV4236032,EMP96444831,Appeal,Call Centre,Medium,10,12,Resolved,
REQ198137645872,20241121,20241125,CLT115281481,ADV3782206,EMP41643256,Advisor Support,Call Centre,Medium,2,4,Resolved,5
REQ380483272760,20240306,20240309,CLT461472023,ADV4837422,EMP42145101,Claim Inquiry,Advisor Portal,Medium,2,3,Resolved,4
REQ276787091761,20251115,20251115,CLT871680651,,,Advisor Support,Call Centre,Low,2,0,Resolved,5
REQ606464425913,20251205,,CLT134617002,ADV5699558,,Claim Inquiry,Call Centre,Low,2,,Escalated,
REQ609476009365,20250617,20250618,CLT161963006,,EMP99712698,Coverage Question,Advisor Portal,Medium,2,1,Resolved,
REQ144026912196,20240516,20240520,CLT967199949,ADV1569720,,Claim Inquiry,Client Portal/App,Low,2,4,Resolved,5
REQ823773752655,20250220,,CLT476754835,,,Address Change,Client Portal/App,Low,3,,Pending,
REQ546920561274,20250613,20250614,CLT194163395,,,Password Reset,Call Centre,Low,1,1,Resolved,
REQ481335015575,20240309,20240313,CLT008070232,ADV2846008,EMP35682394,Payment Issue,Client Portal/App,Low,2,4,Resolved,3
REQ324096554880,20240126,20240129,CLT277030689,,EMP56761914,Address Change,Call Centre,Low,3,3,Resolved,
REQ655702325179,20250624,20250625,CLT311511800,,,Password Reset,Client Portal/App,Low,1,1,Resolved,4
REQ766670225694,20250217,,CLT099119479,ADV4767401,EMP91572248,Advisor Support,Advisor Portal,Low,2,,Escalated,
REQ759096019954,20240316,20240316,CLT432751182,ADV9949882,EMP07885696,Password Reset,Call Centre,Low,1,0,Resolved,
REQ818989629213,20240304,20240311,CLT090434571,ADV0109168,,Appeal,Email,Low,10,7,Resolved,5
REQ122558551878,20231225,20231231,CLT713870191,ADV1119887,,Beneficiary Update,Call Centre,Low,5,6,Resolved,5
REQ600224983238,20230415,20230415,CLT973439720,ADV9741357,EMP15240344,Payment Issue,Chat,Low,2,0,Resolved,
REQ927130336147,20250107,,CLT039472832,ADV1283076,,Claim Inquiry,Call Centre,Low,2,,Escalated,
REQ343275588684,20240321,20240328,CLT697191562,,EMP71200250,Plan Setup,Call Centre,Low,7,7,Resolved,5
REQ492339300963,20240126,20240128,CLT878654511,ADV6586365,EMP25686980,Payment Issue,Advisor Portal,Medium,2,2,Resolved,
REQ523394873070,20230606,20230608,CLT031948399,,,Claim Inquiry,Call Centre,Low,2,2,Resolved,5
REQ192495994634,20240411,20240412,CLT882780413,ADV5273388,,Claim Inquiry,Call Centre,Low,2,1,Resolved,5
REQ194192269070,20250913,20250915,CLT553174570,ADV8421930,,Claim Inquiry,Client Portal/App,Low,2,2,Resolved,4
REQ574217768321,20240709,20240713,CLT383736971,ADV3628937,,Claim Inquiry,Chat,Low,2,4,Resolved,
REQ205128771603,20230407,20230412,CLT526875554,ADV6908306,EMP54097599,Claim Inquiry,Call Centre,High,2,5,Resolved,4
REQ628144714213,20250720,20250720,CLT587759827,ADV8232111,,Password Reset,Call Centre,Medium,1,0,Resolved,
REQ114756035684,20251214,20251217,CLT878286052,,EMP73847107,Advisor Support,Advisor Portal,Low,2,3,Resolved,4
REQ974468444795,20230206,,CLT500924513,ADV9611738,EMP94257300,Payment Issue,Call Centre,Low,2,,Escalated,
REQ072250318012,20251217,20251221,CLT119075794,ADV6667981,EMP07476436,Payment Issue,Call Centre,Low,2,4,Resolved,4
REQ199505640058,20231022,20231025,CLT325610125,ADV2448770,EMP71521910,Advisor Support,Chat,Low,2,3,Resolved,5
REQ874343911661,20250916,20250917,CLT690162328,ADV0528518,,Payment Issue,Client Portal/App,Low,2,1,Resolved,
REQ867177368935,20240208,,CLT959758166,ADV6084596,EMP66224853,Beneficiary Update,Call Centre,Low,5,,Pending,
REQ701178878196,20241026,20241027,CLT305788927,ADV6517091,,Payment Issue,Client Portal/App,Medium,2,1,Resolved,5
REQ588284188586,20230514,20230515,CLT448333664,ADV4336441,EMP69740806,Claim Inquiry,Call Centre,Low,2,1,Resolved,3
REQ208710921046,20230811,20230813,CLT713870191,ADV1119887,,Address Change,Client Portal/App,Low,3,2,Resolved,
REQ330229499714,20241128,,CLT981183228,ADV5706657,,Address Change,Advisor Portal,Low,3,,Escalated,
REQ195094465494,20251006,20251007,CLT927720227,ADV5273388,EMP15240344,Payment Issue,Call Centre,Medium,2,1,Resolved,
REQ313341547980,20250413,20250424,CLT239831159,ADV9075588,,Appeal,Client Portal/App,Medium,10,11,Resolved,4
REQ769485987819,20231208,,CLT907944287,ADV6638018,,Address Change,Call Centre,Low,3,,Pending,
REQ390536678802,20250809,20250810,CLT534901063,,,Coverage Question,Client Portal/App,Low,2,1,Resolved,
REQ355734889675,20240715,20240716,CLT232066856,ADV6777505,,Claim Inquiry,Chat,Low,2,1,Resolved,4
REQ949291970016,20230428,20230509,CLT927392609,ADV5876819,,Plan Setup,Call Centre,Medium,7,11,Resolved,4
REQ162440975816,20240722,20240724,CLT877667251,ADV2387605,,Payment Issue,Chat,Low,2,2,Resolved,4
REQ161859572589,20240216,20240218,CLT865100142,ADV2961815,,Address Change,Advisor Portal,Low,3,2,Resolved,
REQ657128286006,20240211,20240212,CLT643880843,ADV8471121,,Coverage Question,Client Portal/App,Low,2,1,Resolved,3
REQ847513119599,20231009,20231010,CLT914771264,,EMP16793256,Advisor Support,Call Centre,Medium,2,1,Resolved,
REQ443944875156,20230518,,CLT111980227,ADV8154701,,Plan Setup,Client Portal/App,Low,7,,Escalated,
REQ468639893517,20230913,20230916,CLT140588756,ADV7904566,,Payment Issue,Call Centre,Low,2,3,Resolved,
REQ465347156628,20251107,,CLT361201916,ADV7024219,EMP56325343,Advisor Support,Chat,High,2,,Escalated,
REQ707351687512,20250820,20250822,CLT641622815,ADV2962328,EMP84539473,Claim Inquiry,Advisor Portal,Low,2,2,Resolved,
REQ316327149803,20231208,20231210,CLT948148041,ADV3589506,EMP89309627,Coverage Question,Call Centre,Low,2,2,Resolved,
REQ230712206234,20240121,20240121,CLT715469672,ADV4300648,,Advisor Support,Client Portal/App,Low,2,0,Resolved,
REQ654420387482,20240507,20240513,CLT269031131,ADV7598083,EMP20597777,Beneficiary Update,Chat,High,5,6,Resolved,4
REQ691109465991,20241105,20241107,CLT573846837,,EMP54489269,Claim Inquiry,Client Portal/App,High,2,2,Resolved,5
REQ507828982175,20240227,,CLT451668024,ADV1463527,,Plan Setup,Client Portal/App,Low,7,,Pending,
REQ364349228032,20240711,20240713,CLT234131746,,,Claim Inquiry,Call Centre,Medium,2,2,Resolved,
REQ108241758069,20250927,20251006,CLT748381177,ADV1727595,EMP28692741,Appeal,Call Centre,Low,10,9,Resolved,4
REQ035948963713,20240824,20240903,CLT011400273,ADV2297869,,Plan Setup,Call Centre,Medium,7,10,Resolved,
REQ624155358218,20230624,20230627,CLT439335556,ADV6082853,EMP30034718,Advisor Support,Email,Medium,2,3,Resolved,5
REQ645289974602,20231013,,CLT818385420,ADV9741357,EMP90698319,Claim Inquiry,Chat,Medium,2,,Escalated,
REQ219419692446,20230527,20230607,CLT344979255,ADV7327371,,Appeal,Client Portal/App,Low,10,11,Resolved,
REQ986862444041,20231128,20231128,CLT529284837,ADV6722466,,Claim Inquiry,Client Portal/App,Medium,2,0,Resolved,3
REQ202053470453,20230608,20230612,CLT022341750,ADV0588323,EMP64290297,Address Change,Call Centre,Low,3,4,Resolved,4
REQ739441771272,20230426,,CLT487351815,,EMP87728845,Appeal,Client Portal/App,Low,10,,Pending,
REQ577050841160,20241127,20241127,CLT975623790,,EMP43644421,Coverage Question,Call Centre,Low,2,0,Resolved,
REQ220633125274,20250728,20250729,CLT482625859,ADV8588843,EMP70141361,Coverage Question,Email,Low,2,1,Resolved,4
REQ414225673981,20230527,,CLT515481279,ADV5402849,EMP69412871,Coverage Question,Advisor Portal,Low,2,,Pending,
REQ589620534946,20250512,20250517,CLT322177649,ADV5388301,,Beneficiary Update,Advisor Portal,Low,5,5,Resolved,4
REQ139415181872,20240315,,CLT064863057,ADV4012393,EMP07364380,Coverage Question,Chat,Medium,2,,Escalated,
REQ466237192576,20240905,20240908,CLT691689209,,,Claim Inquiry,Client Portal/App,Low,2,3,Resolved,
REQ943834622137,20231203,20231204,CLT557454072,ADV9373984,,Password Reset,Advisor Portal,Low,1,1,Resolved,4
REQ058695385522,20230510,20230511,CLT945612965,,EMP56761914,Password Reset,Call Centre,Low,1,1,Resolved,4
REQ882255836963,20231010,20231010,CLT865287835,ADV5426850,,Advisor Support,Client Portal/App,Low,2,0,Resolved,5
REQ985786299863,20250122,20250122,CLT285188330,,,Password Reset,Call Centre,Medium,1,0,Resolved,4
REQ632433971059,20250617,20250617,CLT548390814,ADV5310360,,Password Reset,Call Centre,High,1,0,Resolved,
REQ000201033377,20250310,20250311,CLT874712483,,,Address Change,Advisor Portal,Low,3,1,Resolved,4
REQ530807327329,20251018,20251020,CLT742520196,ADV6059315,EMP07644806,Claim Inquiry,Email,Low,2,2,Resolved,5
REQ273338637088,20250503,20250505,CLT522899845,ADV9913917,,Payment Issue,Advisor Portal,High,2,2,Resolved,
REQ001475928741,20241108,20241110,CLT801909928,ADV7610312,,Claim Inquiry,Email,Medium,2,2,Resolved,
REQ366000022261,20250525,,CLT468005790,ADV0676537,EMP44018377,Claim Inquiry,Client Portal/App,Low,2,,Escalated,
REQ705032761437,20230321,20230323,CLT221972287,ADV6090391,EMP25684028,Advisor Support,Client Portal/App,Medium,2,2,Resolved,3
REQ120367022009,20250704,20250706,CLT888820295,ADV5842097,,Payment Issue,Client Portal/App,Low,2,2,Resolved,4
REQ733522353454,20250223,,CLT940241738,ADV3463969,,Payment Issue,Chat,Low,2,,Pending,
REQ202351146066,20250619,20250626,CLT566464273,,EMP88265146,Beneficiary Update,Chat,Low,5,7,Resolved,
REQ457348989260,20241028,20241030,CLT098488686,ADV8714996,,Claim Inquiry,Email,Low,2,2,Resolved,
REQ928783991014,20230912,,CLT321191687,ADV2495596,,Address Change,Advisor Portal,Low,3,,Escalated,
REQ692939053153,20250304,,CLT607409546,ADV2961815,,Appeal,Client Portal/App,Low,10,,Escalated,
REQ445110811592,20250828,20250829,CLT374507122,,EMP31190396,Coverage Question,Call Centre,Low,2,1,Resolved,5
REQ634188851115,20240324,20240328,CLT850104206,ADV2536698,EMP40349959,Address Change,Call Centre,Low,3,4,Resolved,5
REQ942447957639,20230902,20230903,CLT616339755,ADV7413491,EMP31299062,Coverage Question,Call Centre,Medium,2,1,Resolved,3
REQ556236665207,20230918,20230921,CLT428602468,ADV2807406,,Beneficiary Update,Client Portal/App,Low,5,3,Resolved,
REQ057915050336,20230923,20230925,CLT805471977,,EMP27277472,Password Reset,Call Centre,Medium,1,2,Resolved,
REQ177658881458,20240724,20240725,CLT207254811,,EMP64290297,Claim Inquiry,Advisor Portal,Medium,2,1,Resolved,4
REQ631456944817,20230813,20230813,CLT303708271,ADV5695653,,Coverage Question,Advisor Portal,Low,2,0,Resolved,4
REQ387978517594,20240811,20240812,CLT122041100,ADV3430324,EMP14646266,Advisor Support,Advisor Portal,Low,2,1,Resolved,
REQ911264500359,20250509,20250521,CLT187939918,ADV2822836,EMP47002610,Appeal,Email,Medium,10,12,Resolved,4
REQ141247418041,20230924,20230926,CLT540697028,ADV2961815,EMP02503190,Payment Issue,Client Portal/App,Low,2,2,Resolved,3
REQ285122418586,20230305,20230305,CLT321191687,ADV2495596,,Coverage Question,Client Portal/App,Low,2,0,Resolved,5
REQ237370582347,20240701,,CLT001297138,ADV2297869,EMP91572248,Address Change,Call Centre,Low,3,,Pending,
REQ777875351529,20241115,20241117,CLT403937188,,EMP98100512,Payment Issue,Client Portal/App,Medium,2,2,Resolved,
REQ085429203171,20250226,20250301,CLT079138708,ADV3245480,EMP11300900,Payment Issue,Advisor Portal,Medium,2,3,Resolved,4
REQ008818137965,20231206,,CLT284929836,ADV2095732,,Payment Issue,Client Portal/App,Low,2,,Escalated,
REQ002963743912,20240616,20240620,CLT080671786,,EMP49351833,Address Change,Email,Medium,3,4,Resolved,
REQ592745286681,20231119,20231120,CLT030025244,ADV5521725,,Password Reset,Chat,Medium,1,1,Resolved,
REQ512262965516,20230114,20230114,CLT653726274,ADV6652514,EMP32803221,Claim Inquiry,Call Centre,Medium,2,0,Resolved,
REQ283221774972,20231017,20231022,CLT123968071,ADV3504359,EMP94186703,Beneficiary Update,Advisor Portal,Low,5,5,Resolved,5
REQ447831664755,20240813,20240819,CLT851434761,ADV1011456,,Plan Setup,Advisor Portal,Low,7,6,Resolved,
REQ437965536852,20250303,20250310,CLT607609764,,,Plan Setup,Call Centre,Medium,7,7,Resolved,4
REQ509997845669,20240911,20240922,CLT313660569,ADV6121997,EMP56589196,Appeal,Chat,Low,10,11,Resolved,4
REQ872572520425,20230410,20230412,CLT648470899,ADV2596033,EMP07352330,Address Change,Call Centre,Medium,3,2,Resolved,
REQ642635028881,20240206,20240207,CLT362589948,ADV8829710,,Address Change,Client Portal/App,Low,3,1,Resolved,
REQ518167422316,20240306,20240307,CLT433568425,,EMP97447314,Claim Inquiry,Chat,Low,2,1,Resolved,
REQ589871980260,20240818,20240822,CLT924680185,ADV3272183,,Coverage Question,Call Centre,Low,2,4,Resolved,5
REQ223868404287,20240824,20240901,CLT638721615,ADV7465353,,Appeal,Client Portal/App,Low,10,8,Resolved,5
REQ213003369734,20240714,20240715,CLT314881566,ADV1828054,EMP88265146,Advisor Support,Chat,Low,2,1,Resolved,3
REQ111327249421,20230716,20230716,CLT722109902,ADV7465353,,Password Reset,Client Portal/App,Medium,1,0,Resolved,
REQ928142663996,20240610,20240613,CLT782196440,ADV7450251,,Claim Inquiry,Advisor Portal,Medium,2,3,Resolved,
REQ772623311623,20230415,20230416,CLT242808047,ADV4103474,EMP43511585,Address Change,Advisor Portal,Low,3,1,Resolved,
REQ238718646378,20250104,20250114,CLT479074239,ADV2263711,EMP13690789,Appeal,Call Centre,Low,10,10,Resolved,3
REQ784113179879,20230819,20230820,CLT312206200,ADV8274365,,Advisor Support,Call Centre,Low,2,1,Resolved,4
REQ015607360859,20230824,20230831,CLT481631365,,,Beneficiary Update,Email,Low,5,7,Resolved,
REQ335936269625,20230805,20230810,CLT060204806,ADV2448770,EMP23153744,Beneficiary Update,Client Portal/App,Low,5,5,Resolved,
REQ048664231368,20250709,20250713,CLT634166345,,EMP64764694,Address Change,Client Portal/App,Low,3,4,Resolved,
REQ028240843849,20230110,20230114,CLT017348299,ADV5268427,EMP95627864,Beneficiary Update,Call Centre,Low,5,4,Resolved,
REQ860169767637,20230724,20230724,CLT841960383,,,Password Reset,Client Portal/App,Low,1,0,Resolved,
REQ305446170070,20240609,20240615,CLT468019977,,EMP07009878,Beneficiary Update,Client Portal/App,Low,5,6,Resolved,
REQ465485707971,20240308,20240313,CLT476754835,,,Plan Setup,Chat,Low,7,5,Resolved,
REQ975338045630,20230207,,CLT089641341,,,Coverage Question,Client Portal/App,Low,2,,Escalated,
REQ999819660186,20250413,20250420,CLT043700948,,,Plan Setup,Call Centre,Low,7,7,Resolved,
REQ800226770803,20251114,20251115,CLT118683817,ADV4675396,EMP42446983,Password Reset,Client Portal/App,Medium,1,1,Resolved,5
REQ195424186532,20251206,20251208,CLT285334628,,,Password Reset,Advisor Portal,Low,1,2,Resolved,
REQ864238631191,20230902,20230908,CLT271083041,ADV3667233,,Beneficiary Update,Call Centre,Medium,5,6,Resolved,
REQ133743029524,20240411,20240411,CLT226416989,ADV0717784,EMP09266481,Coverage Question,Email,Low,2,0,Resolved,4
REQ225505132562,20230622,,CLT858511847,ADV1438845,EMP36784932,Advisor Support,Call Centre,Low,2,,Pending,
REQ834323324750,20231210,20231210,CLT986634071,ADV6801368,EMP71374907,Payment Issue,Call Centre,Low,2,0,Resolved,4
REQ851959262545,20240103,,CLT228274237,,,Claim Inquiry,Call Centre,Low,2,,Pending,
REQ914078063744,20250114,20250121,CLT165838670,ADV1220760,EMP03252925,Plan Setup,Call Centre,Medium,7,7,Resolved,5
REQ167360315668,20251103,20251109,CLT647297623,ADV0941635,,Plan Setup,Call Centre,Low,7,6,Resolved,
REQ928273962048,20230722,20230724,CLT392929961,ADV5676366,,Payment Issue,Email,Low,2,2,Resolved,5
REQ398139267773,20240405,20240406,CLT179620062,ADV7984705,,Address Change,Client Portal/App,Low,3,1,Resolved,5
REQ085247987026,20230604,20230609,CLT473339370,,EMP07476436,Claim Inquiry,Advisor Portal,High,2,5,Resolved,4
REQ041062449996,20251222,20251225,CLT259136095,ADV1725864,EMP00552206,Claim Inquiry,Advisor Portal,Medium,2,3,Resolved,5
REQ950905002198,20241111,20241113,CLT157048394,ADV3809811,EMP40887645,Coverage Question,Call Centre,Medium,2,2,Resolved,4
REQ572596467425,20250522,20250523,CLT579353085,ADV8402053,EMP18131472,Address Change,Advisor Portal,Low,3,1,Resolved,
REQ061684763530,20240415,20240415,CLT854095038,ADV5314257,EMP79949566,Payment Issue,Call Centre,Low,2,0,Resolved,
REQ920245672781,20250820,,CLT531997382,ADV1740281,,Advisor Support,Email,Medium,2,,Pending,
REQ450255277929,20241124,,CLT636430823,,EMP83503519,Appeal,Advisor Portal,Medium,10,,Escalated,
REQ341253780707,20240611,20240611,CLT189809800,ADV7614829,,Password Reset,Client Portal/App,Low,1,0,Resolved,
REQ380090529928,20231006,,CLT131235167,ADV1317465,,Advisor Support,Email,Low,2,,Escalated,
REQ928564057008,20230311,20230311,CLT992714228,ADV0768830,EMP13123104,Claim Inquiry,Advisor Portal,Low,2,0,Resolved,2
REQ358931355264,20250614,20250618,CLT311809000,ADV4308904,,Payment Issue,Chat,High,2,4,Resolved,5
REQ299339597997,20250215,20250216,CLT263144913,,EMP68350744,Advisor Support,Advisor Portal,Medium,2,1,Resolved,5
REQ870054962151,20250701,20250709,CLT153066208,ADV3463969,,Appeal,Advisor Portal,Low,10,8,Resolved,4
REQ891036696091,20231221,20231225,CLT609242979,ADV1869519,EMP99703495,Payment Issue,Client Portal/App,Low,2,4,Resolved,5
REQ715688968857,20250321,20250323,CLT402584648,,EMP47979902,Coverage Question,Email,Medium,2,2,Resolved,5
REQ623332619277,20240403,20240409,CLT113851859,ADV5521725,,Plan Setup,Advisor Portal,Low,7,6,Resolved,
REQ373293721771,20250413,,CLT886325174,ADV5388301,,Coverage Question,Call Centre,Medium,2,,Pending,
REQ768533609456,20240511,20240514,CLT765066556,ADV7331296,EMP22406633,Coverage Question,Advisor Portal,Low,2,3,Resolved,
REQ485836441522,20250311,20250312,CLT919538107,,,Payment Issue,Advisor Portal,Low,2,1,Resolved,5
REQ432575103138,20231012,,CLT943282057,ADV1556184,EMP72805969,Address Change,Client Portal/App,Medium,3,,Pending,
REQ339929936228,20230117,20230119,CLT737697913,,,Claim Inquiry,Call Centre,Low,2,2,Resolved,4
REQ422719893057,20251001,20251009,CLT145870627,ADV0196283,EMP81322331,Plan Setup,Call Centre,Low,7,8,Resolved,3
REQ162800198633,20231105,20231111,CLT205667438,,,Beneficiary Update,Advisor Portal,Medium,5,6,Resolved,
REQ233143225942,20230608,20230612,CLT070291290,,EMP45562649,Coverage Question,Email,Low,2,4,Resolved,
REQ844477951187,20240604,20240607,CLT952538737,ADV6724947,,Coverage Question,Call Centre,Low,2,3,Resolved,4
REQ363629891353,20230705,20230708,CLT932887180,ADV2495596,EMP63925524,Address Change,Client Portal/App,Low,3,3,Resolved,
REQ322201557173,20230701,20230702,CLT920875871,ADV6121997,,Password Reset,Client Portal/App,Medium,1,1,Resolved,
REQ617013986921,20251023,,CLT808799040,,,Claim Inquiry,Client Portal/App,Low,2,,Pending,
REQ373584767940,20230706,20230706,CLT111879811,ADV2286979,,Payment Issue,Email,Low,2,0,Resolved,
REQ977075658843,20240424,20240424,CLT996792405,ADV5268427,,Advisor Support,Client Portal/App,Medium,2,0,Resolved,
REQ323467954739,20230718,20230720,CLT119129151,ADV3422954,EMP81322331,Coverage Question,Email,Low,2,2,Resolved,
REQ872096537759,20250807,,CLT743385047,ADV6898787,EMP31358376,Payment Issue,Chat,Low,2,,Pending,
REQ487141655981,20241217,20241218,CLT609256461,ADV6343720,EMP69847345,Coverage Question,Client Portal/App,Medium,2,1,Resolved,
REQ850279955119,20250823,20250827,CLT653127289,,EMP81961493,Address Change,Call Centre,Medium,3,4,Resolved,4
REQ705263660910,20250323,20250323,CLT358846569,ADV1789019,EMP32186164,Password Reset,Chat,Low,1,0,Resolved,4
REQ372642125479,20250109,20250110,CLT562584364,ADV2192139,,Coverage Question,Advisor Portal,Low,2,1,Resolved,
REQ645782931016,20240919,20240920,CLT764089798,,EMP56632735,Coverage Question,Call Centre,Low,2,1,Resolved,
REQ861833718756,20230802,20230803,CLT942273649,ADV2980924,EMP83957878,Advisor Support,Email,Low,2,1,Resolved,4
REQ284143165660,20240319,,CLT104521049,ADV0924068,,Beneficiary Update,Email,Low,5,,Escalated,
REQ962316860626,20250116,20250117,CLT551514422,ADV3302901,EMP31605792,Claim Inquiry,Call Centre,Low,2,1,Resolved,4
REQ825425201627,20240206,,CLT972315932,ADV7054906,EMP05220943,Coverage Question,Advisor Portal,Low,2,,Escalated,
REQ854395553080,20230209,20230212,CLT320187403,ADV0632471,EMP99729557,Beneficiary Update,Call Centre,Medium,5,3,Resolved,
REQ608383229667,20240327,20240331,CLT913513744,ADV1164480,EMP79196939,Claim Inquiry,Call Centre,Medium,2,4,Resolved,3
REQ381075731711,20240307,20240308,CLT040386455,,,Advisor Support,Chat,Medium,2,1,Resolved,4
REQ074931285097,20240802,20240805,CLT007316395,ADV3360056,EMP14302539,Coverage Question,Call Centre,High,2,3,Resolved,4
REQ853233055345,20241016,20241018,CLT263279759,ADV8898789,,Payment Issue,Call Centre,Low,2,2,Resolved,
REQ841184635535,20241107,,CLT327347227,ADV6898787,EMP01464118,Coverage Question,Call Centre,Low,2,,Escalated,
REQ987538541511,20231022,20231024,CLT541391804,ADV2993320,,Advisor Support,Chat,Medium,2,2,Resolved,4
REQ555399622486,20230613,20230614,CLT380140218,ADV9781454,EMP89188734,Coverage Question,Advisor Portal,Low,2,1,Resolved,
REQ387096987568,20230914,20230916,CLT130378855,ADV9316710,,Coverage Question,Chat,Low,2,2,Resolved,4
REQ301818572653,20231004,20231008,CLT047806100,ADV2334023,EMP04185304,Advisor Support,Call Centre,Medium,2,4,Resolved,4
REQ544018637462,20230209,20230219,CLT759466744,ADV2886667,,Appeal,Client Portal/App,Medium,10,10,Resolved,5
REQ241418223442,20230711,20230713,CLT180868298,ADV6520247,,Claim Inquiry,Client Portal/App,Low,2,2,Resolved,
REQ801768356842,20231226,,CLT209107194,,,Claim Inquiry,Email,Low,2,,Escalated,
REQ399639608047,20240413,20240414,CLT310035426,,,Claim Inquiry,Advisor Portal,Low,2,1,Resolved,
REQ183123379064,20250319,20250328,CLT454202986,ADV4319050,EMP81596933,Appeal,Advisor Portal,Low,10,9,Resolved,4
REQ986636455388,20241101,20241101,CLT912789073,ADV5653787,EMP02614714,Password Reset,Call Centre,Low,1,0,Resolved,
REQ551220317376,20250926,,CLT166675346,ADV2697698,EMP32210908,Beneficiary Update,Advisor Portal,Low,5,,Pending,
REQ090310959830,20230108,20230110,CLT076263420,ADV2264945,EMP81596933,Coverage Question,Call Centre,Medium,2,2,Resolved,4
REQ917125952102,20250820,20250822,CLT852081726,ADV1464332,,Advisor Support,Call Centre,Low,2,2,Resolved,4
REQ521561565961,20251004,20251012,CLT954690121,ADV0743615,EMP40509634,Plan Setup,Client Portal/App,Low,7,8,Resolved,
REQ122716933294,20240226,20240227,CLT645669190,,EMP83503519,Advisor Support,Email,Low,2,1,Resolved,
REQ263167336040,20230515,20230521,CLT483353693,,EMP99037813,Plan Setup,Call Centre,Low,7,6,Resolved,4
REQ711822819687,20250312,20250313,CLT479186180,ADV3245480,EMP14646266,Payment Issue,Call Centre,Low,2,1,Resolved,
REQ953700235573,20250226,20250228,CLT017719466,ADV5799899,,Coverage Question,Client Portal/App,Low,2,2,Resolved,3
REQ646021127176,20240716,,CLT122140210,,,Appeal,Call Centre,Low,10,,Pending,
REQ163571018901,20241005,,CLT630469474,,EMP72724039,Payment Issue,Email,Low,2,,Escalated,
REQ431024398277,20230110,20230111,CLT748178520,,,Address Change,Call Centre,Medium,3,1,Resolved,4
REQ224272383397,20240209,20240212,CLT783514409,ADV0211596,EMP52994055,Claim Inquiry,Client Portal/App,Low,2,3,Resolved,
REQ132468746863,20240304,,CLT464174690,ADV3557368,,Payment Issue,Chat,Low,2,,Pending,
REQ641530628829,20251213,,CLT646261917,ADV7032682,EMP97186519,Payment Issue,Chat,Low,2,,Escalated,
REQ624821341786,20240709,20240709,CLT485530872,ADV9587168,,Coverage Question,Advisor Portal,Low,2,0,Resolved,5
REQ767023758412,20250225,,CLT309863910,ADV9718250,EMP16967284,Claim Inquiry,Call Centre,Low,2,,Escalated,
