PolicyID,ClientID,EmployerID,AdvisorID,ProductCode,PolicyStartDate,PolicyEndDate,PolicyStatus,PaymentMode,UnderwritingClass,PlanTier,SumAssured,PremiumOrRate
POL1760948182,CLT273563376,EMP72786396,,GB_STD,2020-11-06,,Active,Monthly,,Single,,62.09
POL2092031952,CLT876408161,,,GRS_DC,2024-10-17,,Active,Bi-Weekly,,,,0.72
POL2769350578,CLT437594647,,ADV0463380,GB_DENTAL,2020-01-25,,Active,Monthly,,Family,,170.18
POL7477440130,CLT166400105,,,GB_HEALTH,2017-05-07,2019-02-20,Lapsed,Bi-Weekly,,Single,,74.77
POL3925029060,CLT738888589,,,GB_HEALTH,2016-11-09,,Active,Monthly,,Single,,77.23
POL7540127034,CLT698343280,EMP70141361,ADV2430194,IND_LIFE_TERM,2022-11-12,,Active,Monthly,Rated,,341818,42.06
POL0863700326,CLT683122954,,ADV2457415,IND_LIFE_PERM,2022-04-02,2018-12-13,Lapsed,Monthly,Standard,,70831,55.09
POL8314169822,CLT150883328,EMP71463009,ADV0906854,GB_HEALTH,2017-12-07,,Active,Monthly,,Single,,75.07
POL5221345397,CLT223584493,,,IND_HEALTH,2024-02-02,,Active,Monthly,Standard,,84611,15.38
POL1270993766,CLT349735324,,ADV4894870,GB_HEALTH,2016-12-16,,Active,Monthly,,Family,,135.37
POL7219158737,CLT306617733,EMP92857814,ADV2980924,GB_DENTAL,2018-02-19,2019-09-12,Matured,Annual,,Couple,,92.54
POL9350424036,CLT672384380,,,GB_LTD,2019-06-14,,Active,Monthly,,Family,,188.65
POL2513529785,CLT867827172,EMP75272358,ADV6343720,GB_DENTAL,2019-03-16,,Active,Monthly,,Single,,62.19
POL6773069478,CLT163220478,,ADV4462642,GB_STD,2015-11-27,,Active,Monthly,,Single,,47.41
POL2021218647,CLT116255131,EMP31183391,ADV0924068,GB_HEALTH,2018-07-19,,Active,Annual,,Single,,66.51
POL0623494066,CLT613307750,EMP78927543,ADV2344113,GB_HEALTH,2019-09-07,,Active,Monthly,,Couple,,115.88
POL9202472992,CLT480752216,EMP92857814,,GB_DENTAL,2024-08-01,,Active,Bi-Weekly,,Couple,,219.12
POL9638174778,CLT346263128,EMP41360280,,GB_DENTAL,2016-10-18,2021-09-29,Lapsed,Monthly,,Single,,114.37
POL4323370764,CLT361312750,EMP75941099,ADV6863523,GB_STD,2015-02-08,,Active,Bi-Weekly,,Couple,,98.78
POL1194317998,CLT705021374,,ADV8283483,GB_STD,2016-12-10,,Active,Monthly,,Single,,113.4
POL1831794380,CLT796650110,,ADV2253243,GB_DENTAL,2022-04-26,,Active,Monthly,,Single,,141.77
POL6015617244,CLT259076497,EMP31183391,ADV1467739,GB_HEALTH,2025-08-27,,Active,Annual,,Couple,,190.87
POL6779374235,CLT622759967,EMP40349959,ADV3667233,GB_STD,2023-03-16,,Active,Monthly,,Single,,79.68
POL2868146308,CLT481070737,,ADV5381758,WEALTH_SEG,2025-05-22,,Active,Monthly,,,,0.48
POL6615747248,CLT648696658,,,WEALTH_SEG,2015-06-10,,Active,Monthly,,,,0.56
POL2946209881,CLT961064067,EMP31358376,ADV3994951,GB_HEALTH,2018-10-23,,Active,Bi-Weekly,,Single,,125.36
POL6108727381,CLT474980357,EMP13456680,,GB_HEALTH,2017-04-09,,Active,Monthly,,Family,,249.25
POL8629833431,CLT294266896,EMP03795346,ADV5968997,IND_LIFE_PERM,2024-05-10,,Active,Monthly,Standard,,115871,83.52
POL6465891624,CLT381781569,EMP05989189,ADV3360056,IND_LIFE_TERM,2015-03-12,,Active,Bi-Weekly,Standard,,60433,21.76
POL6405200387,CLT210344841,,ADV3411232,IND_LIFE_TERM,2021-01-14,2023-09-28,Cancelled,Monthly,Rated,,46530,12.0
POL0526115481,CLT011920272,,ADV9384912,GB_HEALTH,2020-02-17,,Active,Bi-Weekly,,Single,,74.79
POL9638287417,CLT593648925,EMP95109311,ADV7032682,GB_HEALTH,2022-10-02,,Active,Monthly,,Family,,225.87
POL6928662179,CLT781653268,,ADV5025496,GB_DENTAL,2018-07-01,,Active,Monthly,,Single,,62.95
POL3376077883,CLT606565305,,ADV8714996,GRS_DC,2021-07-09,2025-11-17,Cancelled,Monthly,,,,0.52
POL4628108036,CLT765226367,EMP10214810,ADV5653787,GB_STD,2015-10-15,,Active,Monthly,,Family,,183.42
POL5270852262,CLT790127203,,,IND_HEALTH,2025-06-12,,Active,Monthly,Preferred,,148515,49.2
POL6248414277,CLT675439431,EMP74901923,ADV9690642,GRS_DC,2018-09-13,,Active,Monthly,,,,0.38
POL8613564580,CLT038810284,EMP84058941,ADV1934129,GB_HEALTH,2015-09-28,2024-02-15,Lapsed,Monthly,,Single,,52.96
POL2083968565,CLT582960412,,ADV9384912,GB_DENTAL,2017-02-03,,Active,Monthly,,Family,,126.18
POL4689891843,CLT286452371,,ADV0339308,GB_DENTAL,2018-07-01,2020-10-12,Lapsed,Annual,,Couple,,141.08
POL0516556118,CLT330036892,EMP71017780,ADV1523224,GB_HEALTH,2019-05-24,,Active,Monthly,,Family,,173.1
POL0395022652,CLT905504911,,ADV6517091,GB_DENTAL,2021-12-15,,Active,Monthly,,Single,,92.44
POL5108375398,CLT883903630,EMP88281543,ADV9529192,GB_HEALTH,2016-09-02,,Active,Monthly,,Single,,96.75
POL5063164025,CLT126854506,,,GB_HEALTH,2024-08-16,,Active,Monthly,,Single,,27.72
POL7838667946,CLT211421875,,ADV3151962,IND_HEALTH,2024-01-17,,Active,Monthly,Standard,,52465,12.0
POL6873643144,CLT937908764,,ADV9066504,GB_HEALTH,2025-10-27,,Active,Monthly,,Single,,111.59
POL0281349027,CLT509092403,,ADV2536698,GB_HEALTH,2022-10-17,,Active,Monthly,,Single,,97.3
POL9519259050,CLT371867822,,ADV2977102,IND_LIFE_PERM,2024-01-22,,Active,Monthly,Rated,,36205,18.65
POL4291578298,CLT388320103,,ADV8481195,IND_LIFE_TERM,2023-08-19,,Active,Bi-Weekly,Preferred,,52926,17.35
POL2298547117,CLT186547663,,ADV6638018,IND_LIFE_TERM,2017-05-26,,Active,Monthly,Rated,,140147,53.69
POL4680405951,CLT294032963,EMP17133085,ADV2465026,GB_STD,2015-04-17,,Active,Monthly,,Single,,86.73
POL6664906134,CLT182042655,EMP17940815,ADV5799899,GRS_DC,2016-12-20,2021-09-23,Matured,Monthly,,,,0.4
POL8427756555,CLT430923805,EMP58902408,ADV6121997,IND_LIFE_PERM,2017-03-01,2019-02-09,Lapsed,Monthly,Simplified,,163558,104.32
POL8693053574,CLT032042258,,ADV5314415,IND_HEALTH,2017-06-17,,Active,Bi-Weekly,Rated,,37169,12.0
POL6755915158,CLT230455238,,ADV7325786,GB_HEALTH,2023-10-22,2022-03-03,Cancelled,Bi-Weekly,,Single,,72.32
POL2595735453,CLT592674848,,ADV6724947,WEALTH_SEG,2020-10-16,2024-10-06,Lapsed,Monthly,,,,0.28
POL4840809393,CLT902082078,EMP26618180,ADV7700991,GB_HEALTH,2020-10-18,,Active,Bi-Weekly,,Family,,202.6
POL4271792987,CLT576164166,,ADV8817348,GB_HEALTH,2022-02-06,2021-06-23,Lapsed,Monthly,,Single,,72.22
POL2514079372,CLT624813213,EMP41643256,,GB_HEALTH,2019-05-22,,Active,Bi-Weekly,,Family,,320.0
POL7564265333,CLT015303677,EMP73855148,,WEALTH_SEG,2024-07-26,,Active,Monthly,,,,0.58
POL3761678876,CLT631685383,EMP11919203,,GRS_RRSP,2016-08-14,,Active,Monthly,,,,0.51
POL1505926852,CLT976293279,EMP30345626,ADV7303769,GB_HEALTH,2018-07-22,2024-10-18,Lapsed,Monthly,,Family,,230.17
POL5767631607,CLT485033627,EMP73963062,ADV4336441,WEALTH_SEG,2023-03-10,,Active,Monthly,,,,0.32
POL0130450590,CLT509790680,,ADV7054906,IND_LIFE_TERM,2022-10-04,,Active,Bi-Weekly,Simplified,,27895,12.0
POL4820300918,CLT546367897,,,IND_HEALTH,2025-06-05,,Active,Bi-Weekly,Simplified,,142883,25.09
POL0976727422,CLT157483115,EMP86171599,ADV9611738,GB_DENTAL,2021-09-26,,Active,Monthly,,Single,,76.12
POL3405001274,CLT359240535,,,GB_LTD,2023-11-25,,Active,Monthly,,Couple,,139.54
POL4104275344,CLT488164250,,,IND_LIFE_TERM,2016-07-14,,Active,Annual,Rated,,51342,14.09
POL8796379415,CLT326761362,EMP00325034,,GB_HEALTH,2016-10-25,,Active,Bi-Weekly,,Family,,150.91
POL3109012761,CLT449036215,,ADV2241859,GB_DENTAL,2024-06-05,,Active,Monthly,,Single,,88.24
POL4043626996,CLT387464716,,ADV8754851,GB_DENTAL,2024-02-14,,Active,Monthly,,Couple,,157.32
POL3593510864,CLT606807779,,ADV3514980,GB_DENTAL,2024-02-03,,Active,Annual,,Single,,87.97
POL6968299575,CLT888839881,EMP15066074,ADV0475444,GB_DENTAL,2025-08-16,,Active,Bi-Weekly,,Couple,,185.31
POL2980243944,CLT719346574,EMP72701347,ADV6266174,GB_HEALTH,2025-03-24,,Active,Monthly,,Couple,,109.53
POL1384877475,CLT482780529,,ADV9587168,IND_LIFE_PERM,2019-08-16,,Active,Monthly,Standard,,103658,52.35
POL4225962522,CLT113332257,,ADV0112363,GB_HEALTH,2016-01-15,,Active,Monthly,,Single,,109.88
POL8278934753,CLT287169229,,ADV5695653,GB_DENTAL,2018-03-26,,Active,Monthly,,Family,,113.85
POL3156026338,CLT093433380,,,GB_STD,2019-05-03,,Active,Monthly,,Single,,104.56
POL5871935976,CLT780657754,EMP84037554,,GB_HEALTH,2016-10-16,,Active,Monthly,,Single,,105.71
POL7310169671,CLT132490932,EMP09151978,ADV5375311,GB_HEALTH,2018-08-06,,Active,Bi-Weekly,,Single,,85.07
POL3939229156,CLT312359783,,,GRS_RRSP,2016-02-06,,Active,Monthly,,,,0.46
POL1144748420,CLT690121901,EMP50024740,,GRS_DC,2024-09-21,,Active,Monthly,,,,0.4
POL3803014063,CLT618228263,EMP71463009,ADV7793302,GB_DENTAL,2023-08-20,,Active,Bi-Weekly,,Family,,203.92
POL4778639658,CLT254357268,EMP70834980,ADV2978816,GB_HEALTH,2023-06-05,,Active,Monthly,,Single,,94.44
POL2192455218,CLT348843141,,ADV0194139,GRS_DC,2016-05-25,,Active,Monthly,,,,0.26
POL7309920549,CLT648729151,,ADV6517091,GB_STD,2017-11-29,,Active,Monthly,,Single,,72.18
POL8602253285,CLT002904365,,ADV2264945,GB_LTD,2022-09-01,2022-09-21,Lapsed,Bi-Weekly,,Single,,48.98
POL6588660346,CLT107493301,,ADV8804210,GB_STD,2015-03-05,2019-07-02,Cancelled,Monthly,,Single,,86.29
POL9833858041,CLT701388760,EMP71521910,ADV1220938,GB_HEALTH,2015-03-08,,Active,Monthly,,Single,,83.56
POL2705647000,CLT140459192,,ADV0605872,IND_LIFE_TERM,2025-04-15,,Active,Annual,Standard,,64225,12.95
POL2271438929,CLT825820095,EMP05808826,ADV8274365,GB_HEALTH,2018-08-24,2024-07-27,Cancelled,Monthly,,Single,,69.25
POL7997377924,CLT888862649,,,GB_LTD,2019-11-21,,Active,Monthly,,Family,,185.79
POL9772908222,CLT066671342,,ADV9672498,GB_DENTAL,2022-02-15,,Active,Annual,,Family,,240.53
POL7574918847,CLT110878550,EMP49243113,,GB_STD,2016-12-08,,Active,Monthly,,Single,,89.25
POL3041606430,CLT398965215,EMP23153744,ADV9813773,GB_HEALTH,2015-09-21,,Active,Monthly,,Family,,83.3
POL3017318645,CLT067223363,EMP02052757,,IND_LIFE_PERM,2024-10-31,,Active,Monthly,Rated,,85205,56.99
POL5145941259,CLT183631830,EMP97394541,,GRS_RRSP,2020-09-13,,Active,Annual,,,,0.36
POL3037074243,CLT448341607,EMP35577283,ADV8827119,GB_LTD,2018-07-05,,Active,Monthly,,Couple,,141.45
POL6871579732,CLT544390681,,ADV0743615,GB_DENTAL,2019-01-08,,Active,Monthly,,Family,,160.67
POL6167624290,CLT607609764,,,GRS_DC,2019-04-01,,Active,Monthly,,,,0.42
POL3289969916,CLT027466929,EMP38048926,ADV1414165,GB_HEALTH,2025-05-23,,Active,Monthly,,Single,,100.88
POL8485586790,CLT120092751,EMP07885696,ADV3477567,IND_HEALTH,2022-10-17,2020-09-17,Matured,Monthly,Preferred,,125564,20.4
POL5839238826,CLT865362373,EMP13941698,ADV0462046,GB_DENTAL,2021-11-08,,Active,Monthly,,Single,,114.62
POL0326905326,CLT497996203,EMP79949566,ADV1738796,IND_LIFE_PERM,2020-03-04,,Active,Bi-Weekly,Standard,,50201,16.39
POL4093063930,CLT802581320,EMP53765775,ADV1727595,GB_HEALTH,2025-11-22,,Active,Monthly,,Couple,,190.81
POL1010224602,CLT582960412,,ADV9384912,GB_DENTAL,2023-10-14,,Active,Monthly,,Couple,,232.86
POL0096129421,CLT460936987,EMP67312899,ADV2536698,GB_HEALTH,2022-05-17,,Active,Monthly,,Single,,80.87
POL6273908098,CLT436528416,EMP94907522,,GB_LTD,2021-04-06,,Active,Monthly,,Single,,110.33
POL8784213598,CLT281201711,EMP39086278,,IND_LIFE_PERM,2020-01-03,2023-04-16,Lapsed,Bi-Weekly,Simplified,,51804,28.49
POL8796789568,CLT570213644,,ADV0462046,GB_DENTAL,2020-05-19,,Active,Monthly,,Family,,197.98
POL2645006532,CLT995096519,EMP10667948,ADV7942481,GB_HEALTH,2023-12-12,2024-04-30,Lapsed,Monthly,,Family,,255.51
POL4198755454,CLT176234667,EMP71200250,,GRS_DC,2015-01-26,,Active,Monthly,,,,0.5
POL3256120753,CLT660852146,EMP08128894,,GB_HEALTH,2022-08-21,,Active,Monthly,,Single,,88.11
POL5717715243,CLT618228263,EMP71463009,ADV7793302,GB_DENTAL,2017-05-21,,Active,Monthly,,Single,,33.31
POL7313480683,CLT992942846,EMP41643256,,GB_HEALTH,2021-02-17,,Active,Annual,,Single,,71.51
POL7669999865,CLT953652186,,ADV9813773,GB_HEALTH,2018-10-28,2018-04-03,Cancelled,Monthly,,Single,,88.06
POL7013797579,CLT007085493,EMP90073544,ADV1473187,GB_HEALTH,2016-10-04,2024-12-15,Lapsed,Monthly,,Single,,78.71
POL0473612597,CLT329853335,EMP63925524,,GRS_DC,2019-05-20,2018-10-20,Cancelled,Monthly,,,,0.37
POL6776761658,CLT878600522,,ADV7263712,GB_STD,2018-04-07,2022-01-04,Lapsed,Monthly,,Couple,,119.8
POL4358526186,CLT810482379,,,GB_DENTAL,2023-04-02,2018-08-21,Lapsed,Monthly,,Single,,78.87
POL4659102897,CLT394962801,,,GB_HEALTH,2018-04-18,,Active,Monthly,,Single,,57.16
POL0735612809,CLT881965323,,,GB_HEALTH,2021-08-04,,Active,Monthly,,Single,,93.88
POL6324845137,CLT456952096,,,GB_HEALTH,2022-06-26,,Active,Monthly,,Single,,103.93
POL1675973361,CLT057941475,,ADV5166288,GRS_DC,2016-11-23,,Active,Monthly,,,,1.01
POL9670465473,CLT040473807,EMP04421004,ADV1467739,GB_DENTAL,2017-04-16,,Active,Monthly,,Single,,87.16
POL1279396080,CLT918372664,EMP31029592,ADV8232111,GB_DENTAL,2017-09-07,,Active,Monthly,,Couple,,100.95
POL8521124168,CLT465802337,,ADV3273676,IND_LIFE_PERM,2017-04-18,,Active,Monthly,Rated,,64467,15.68
POL0799961203,CLT442088914,EMP88265146,ADV6667981,GB_DENTAL,2019-09-26,,Active,Monthly,,Single,,78.99
POL8105035813,CLT384095485,,,IND_LIFE_TERM,2018-01-26,,Active,Bi-Weekly,Simplified,,30279,12.0
POL6759432600,CLT375029995,EMP21178469,ADV4437550,GB_HEALTH,2015-12-19,,Active,Bi-Weekly,,Single,,109.27
POL8261457062,CLT077833212,EMP31358376,ADV0044032,GB_DENTAL,2022-11-04,,Active,Monthly,,Family,,207.18
POL3876680801,CLT619103339,EMP10999865,ADV8817348,GB_HEALTH,2025-11-13,,Active,Monthly,,Single,,65.87
POL7387649884,CLT489397478,EMP59390575,ADV6059315,GB_STD,2023-02-24,2021-08-30,Lapsed,Annual,,Family,,215.51
POL6016171230,CLT598633540,,,GB_DENTAL,2018-08-08,,Active,Monthly,,Family,,235.39
POL6643806575,CLT671659678,,ADV4508608,IND_LIFE_TERM,2025-04-23,,Active,Monthly,Preferred,,60219,13.22
POL2336968727,CLT763448747,EMP82499938,ADV0904734,GB_STD,2022-08-14,,Active,Monthly,,Single,,90.45
POL7037839715,CLT407700630,,ADV1592143,GB_HEALTH,2015-07-27,,Active,Monthly,,Family,,269.93
POL1006444277,CLT452211314,EMP52573131,ADV9879665,IND_LIFE_TERM,2016-07-12,,Active,Monthly,Simplified,,244976,44.44
POL5018032806,CLT117441680,EMP02614714,ADV2717951,GB_HEALTH,2019-11-27,,Active,Bi-Weekly,,Single,,73.19
POL4646524828,CLT295172247,,,GRS_DC,2022-08-04,,Active,Monthly,,,,0.75
POL1192680468,CLT712946062,EMP73079048,ADV8891512,GRS_DC,2024-10-11,,Active,Monthly,,,,0.86
POL9241705883,CLT081895545,EMP35921280,ADV3842858,IND_LIFE_TERM,2019-05-17,,Active,Monthly,Simplified,,46337,14.16
POL7229137281,CLT414315801,,ADV0336126,GB_DENTAL,2017-05-05,,Active,Monthly,,Single,,108.09
POL4624437891,CLT129764977,EMP76605904,,GRS_DC,2015-06-17,,Active,Monthly,,,,0.56
POL6046423290,CLT820584927,EMP88918045,,GB_HEALTH,2022-04-16,,Active,Monthly,,Single,,75.22
POL7781314434,CLT185286322,,ADV1414165,IND_LIFE_TERM,2022-06-04,,Active,Monthly,Standard,,48388,12.0
POL3376948565,CLT704633090,,ADV9461466,GB_DENTAL,2019-07-10,,Active,Monthly,,Single,,112.11
POL2582130235,CLT269296038,EMP15993764,ADV9653463,GB_HEALTH,2018-08-05,2020-03-10,Cancelled,Monthly,,Family,,193.65
POL1343433334,CLT266346362,EMP12267797,ADV1523224,GB_DENTAL,2025-09-23,,Active,Monthly,,Couple,,126.35
POL9202625142,CLT535558896,EMP86661725,ADV6520247,GB_HEALTH,2020-10-25,,Active,Monthly,,Single,,87.35
POL7408404329,CLT865102435,,ADV0073829,WEALTH_SEG,2022-09-27,2022-06-07,Lapsed,Monthly,,,,0.48
POL6692657102,CLT099444560,EMP84666210,,GB_DENTAL,2020-05-27,,Active,Monthly,,Family,,144.46
POL0485639251,CLT067808316,,,GB_DENTAL,2021-05-02,,Active,Monthly,,Single,,104.36
POL3823373311,CLT952021194,EMP12488335,,GRS_DC,2015-11-25,,Active,Monthly,,,,0.8
POL5863073636,CLT577507738,,ADV3842858,GB_HEALTH,2017-12-24,,Active,Bi-Weekly,,Single,,56.44
POL6384591867,CLT853808095,EMP23153744,ADV9781454,GRS_RRSP,2024-03-23,,Active,Monthly,,,,0.6
POL0344737805,CLT012859882,EMP77320992,ADV6724947,GB_DENTAL,2018-06-25,,Active,Bi-Weekly,,Single,,102.96
POL0598137215,CLT264966625,EMP54514210,,GB_LTD,2015-02-21,,Active,Monthly,,Family,,176.36
POL4302561528,CLT066322425,,ADV1187166,IND_LIFE_PERM,2021-09-20,,Active,Bi-Weekly,Preferred,,88053,14.46
POL5096249484,CLT209123463,,ADV5699558,GRS_DC,2019-01-08,,Active,Annual,,,,0.83
POL4393848067,CLT341500587,EMP71959146,ADV0463380,GB_DENTAL,2024-02-02,,Active,Monthly,,Single,,85.17
POL0698340681,CLT366666334,,ADV1069515,IND_LIFE_TERM,2015-12-30,,Active,Monthly,Standard,,58280,22.98
POL1654796219,CLT472523432,EMP15533848,ADV1973400,IND_LIFE_TERM,2021-10-30,,Active,Monthly,Simplified,,35563,14.91
POL0179996411,CLT224981873,,ADV8825790,GB_LTD,2020-06-15,,Active,Monthly,,Family,,223.4
POL2954659605,CLT227882559,EMP24644915,ADV0924068,GB_DENTAL,2023-12-09,,Active,Monthly,,Family,,240.55
POL7357104078,CLT762733238,EMP94332778,ADV9992539,GRS_DC,2016-08-14,,Active,Monthly,,,,0.3
POL2020603775,CLT272728507,EMP99217310,ADV1882849,GRS_DC,2017-06-01,,Active,Monthly,,,,0.64
POL8494638674,CLT131284472,,ADV3514980,GB_HEALTH,2021-03-22,,Active,Monthly,,Family,,165.26
POL1392103519,CLT029470025,EMP26618180,ADV6265141,GRS_DC,2022-10-19,,Active,Monthly,,,,0.63
POL4131494264,CLT150067260,EMP28835560,ADV3607721,WEALTH_SEG,2017-06-18,,Active,Bi-Weekly,,,,0.68
POL0481194320,CLT723729865,EMP67312899,ADV2536698,GB_HEALTH,2019-09-02,2019-05-15,Cancelled,Bi-Weekly,,Single,,54.25
POL1285639524,CLT819975598,EMP97186519,,IND_LIFE_TERM,2018-09-20,,Active,Monthly,Simplified,,47447,16.67
POL6729592400,CLT885177455,,,IND_LIFE_PERM,2021-01-19,,Active,Monthly,Rated,,121016,41.3
POL6706187425,CLT544990837,EMP58824760,ADV2211353,GB_DENTAL,2025-09-22,,Active,Monthly,,Single,,124.98
POL2297818812,CLT881289586,,ADV8255683,GB_HEALTH,2018-01-23,,Active,Monthly,,Single,,89.41
POL9314375001,CLT688782628,,ADV5842097,GB_HEALTH,2018-03-04,,Active,Monthly,,Family,,220.91
POL2105453281,CLT892310565,EMP95544651,,GB_HEALTH,2019-08-21,,Active,Monthly,,Single,,81.2
POL6996398158,CLT154945994,,ADV7465353,IND_LIFE_PERM,2023-11-30,,Active,Monthly,Simplified,,35875,12.0
POL4580849435,CLT114844968,EMP31392821,,GRS_DC,2022-10-21,,Active,Bi-Weekly,,,,0.15
POL4566828358,CLT543004886,EMP06985094,ADV1462560,GB_DENTAL,2018-04-04,2025-11-20,Matured,Bi-Weekly,,Couple,,131.37
POL4334095096,CLT347011182,,ADV2457415,GRS_DC,2022-06-26,,Active,Monthly,,,,0.51
POL4847740044,CLT042788608,EMP93076607,ADV7793302,GB_DENTAL,2018-10-07,,Active,Monthly,,Single,,91.56
POL6065028219,CLT830902071,EMP84037554,ADV8967534,GB_HEALTH,2018-05-02,,Active,Monthly,,Family,,211.62
POL1253262293,CLT115705197,EMP97630120,ADV4492250,GB_DENTAL,2020-12-08,,Active,Annual,,Single,,118.63
POL9022108875,CLT538428929,EMP67483516,ADV6059315,GRS_DC,2020-01-23,,Active,Annual,,,,0.16
POL7660894364,CLT854613561,EMP02052757,ADV4300648,GRS_DC,2019-10-25,,Active,Bi-Weekly,,,,0.8
POL8918523048,CLT748367648,EMP81959853,ADV0754919,GRS_DC,2025-02-01,,Active,Monthly,,,,0.6
POL2389521187,CLT142170943,,,GB_STD,2018-01-11,,Active,Monthly,,Single,,123.39
