MonthYear,Domain,DQDimension,DQScore,RecordsChecked,IssueCount
2023-05,Transactions,Validity,84.06,1098953,512
2023-05,Transactions,Timeliness,81.41,1531473,701
2023-05,Transactions,Consistency,84.19,83084,612
2023-06,Client Master,Completeness,90.94,618171,275
2023-06,Client Master,Uniqueness,95.41,234857,308
2023-06,Client Master,Validity,92.21,261936,158
2023-06,Client Master,Timeliness,87.83,971535,550
2023-06,Client Master,Consistency,90.36,1423619,338
2023-06,Policy Admin,Completeness,92.61,1184650,154
2023-06,Policy Admin,Uniqueness,91.08,1045774,561
2023-06,Policy Admin,Validity,88.15,1262150,387
2023-06,Policy Admin,Timeliness,92.31,1110300,174
2023-06,Policy Admin,Consistency,88.74,1217868,560
2023-06,Claims,Completeness,84.98,145588,388
2023-06,Claims,Uniqueness,85.46,316048,639
2023-06,Claims,Validity,87.29,867000,545
2023-06,Claims,Timeliness,87.96,593674,393
2023-06,Claims,Consistency,88.16,722801,235
2023-06,Advisor,Completeness,94.58,474353,84
2023-06,Advisor,Uniqueness,98.04,1522182,102
2023-06,Advisor,Validity,95.55,249661,0
2023-06,Advisor,Timeliness,97.26,333521,0
2023-06,Advisor,Consistency,97.68,826212,41
2023-06,Employer,Completeness,93.39,1544239,198
2023-06,Employer,Uniqueness,87.95,245725,281
2023-06,Employer,Validity,91.55,199973,552
2023-06,Employer,Timeliness,91.24,615230,247
2023-06,Employer,Consistency,84.08,419965,635
2023-06,Transactions,Completeness,88.38,319987,462
2023-06,Transactions,Uniqueness,81.54,371509,528
2023-06,Transactions,Validity,86.57,1004274,408
2023-06,Transactions,Timeliness,89.37,781751,356
2023-06,Transactions,Consistency,86.49,1206882,203
2023-07,Client Master,Completeness,89.99,977637,407
2023-07,Client Master,Uniqueness,91.41,1041490,226
2023-07,Client Master,Validity,91.25,1566782,231
2023-07,Client Master,Timeliness,92.37,771482,420
2023-07,Client Master,Consistency,89.87,696563,304
2023-07,Policy Admin,Completeness,83.76,1317232,662
2023-07,Policy Admin,Uniqueness,88.45,873063,656
2023-07,Policy Admin,Validity,91.72,1305573,440
2023-07,Policy Admin,Timeliness,90.52,850415,191
2023-07,Policy Admin,Consistency,88.87,599407,227
2023-07,Claims,Completeness,89.02,869684,279
2023-07,Claims,Uniqueness,85.88,591619,173
2023-07,Claims,Validity,89.55,101484,602
2023-07,Claims,Timeliness,87.24,1502833,641
2023-07,Claims,Consistency,87.89,1074017,313
2023-07,Advisor,Completeness,93.48,1471169,363
2023-07,Advisor,Uniqueness,96.36,340699,80
2023-07,Advisor,Validity,94.6,1545572,222
2023-07,Advisor,Timeliness,95.94,1361916,258
2023-07,Advisor,Consistency,94.35,1497256,221
2023-07,Employer,Completeness,93.8,1006444,0
2023-07,Employer,Uniqueness,90.4,1145585,440
2023-07,Employer,Validity,88.53,193062,483
2023-07,Employer,Timeliness,94.09,732117,157
2023-07,Employer,Consistency,90.84,338392,274
2023-07,Transactions,Completeness,85.95,1559657,717
2023-07,Transactions,Uniqueness,88.56,826725,349
2023-07,Transactions,Validity,89.72,370579,319
2023-07,Transactions,Timeliness,86.99,542631,361
2023-07,Transactions,Consistency,85.53,855363,569
2023-08,Client Master,Completeness,91.96,1474203,263
2023-08,Client Master,Uniqueness,91.41,183254,239
2023-08,Client Master,Validity,91.09,1111251,358
2023-08,Client Master,Timeliness,91.82,309521,414
2023-08,Client Master,Consistency,90.16,617948,245
2023-08,Policy Admin,Completeness,89.26,446540,388
2023-08,Policy Admin,Uniqueness,88.81,903512,617
2023-08,Policy Admin,Validity,91.62,912927,218
2023-08,Policy Admin,Timeliness,91.46,1063218,350
2023-08,Policy Admin,Consistency,86.3,506659,309
2023-08,Claims,Completeness,89.48,289378,442
2023-08,Claims,Uniqueness,88.35,381489,449
2023-08,Claims,Validity,88.37,1430229,382
2023-08,Claims,Timeliness,86.71,842414,605
2023-08,Claims,Consistency,88.41,1088425,296
2023-08,Advisor,Completeness,96.39,1394198,329
2023-08,Advisor,Uniqueness,97.72,811732,173
2023-08,Advisor,Validity,92.92,972874,0
2023-08,Advisor,Timeliness,91.39,168732,199
2023-08,Advisor,Consistency,96.71,926135,59
2023-08,Employer,Completeness,89.92,1512510,272
2023-08,Employer,Uniqueness,91.95,1146040,159
2023-08,Employer,Validity,92.64,767645,266
2023-08,Employer,Timeliness,91.4,516455,344
2023-08,Employer,Consistency,88.31,866532,511
2023-08,Transactions,Completeness,85.73,139332,512
2023-08,Transactions,Uniqueness,86.07,652026,196
2023-08,Transactions,Validity,90.93,231739,423
2023-08,Transactions,Timeliness,88.8,997362,122
2023-08,Transactions,Consistency,84.49,1453693,583
2023-09,Client Master,Completeness,92.51,199393,356
2023-09,Client Master,Uniqueness,93.78,422848,481
2023-09,Client Master,Validity,90.96,489358,453
2023-09,Client Master,Timeliness,90.99,650520,211
2023-09,Client Master,Consistency,92.45,630794,299
2023-09,Policy Admin,Completeness,93.48,272923,321
2023-09,Policy Admin,Uniqueness,86.24,852453,408
2023-09,Policy Admin,Validity,87.58,161513,428
2023-09,Policy Admin,Timeliness,89.99,223894,443
2023-09,Policy Admin,Consistency,93.0,364831,392
2023-09,Claims,Completeness,87.23,325813,403
2023-09,Claims,Uniqueness,86.49,1560456,473
2023-09,Claims,Validity,89.76,1152900,445
2023-09,Claims,Timeliness,91.89,425543,491
2023-09,Claims,Consistency,86.11,1328289,613
2023-09,Advisor,Completeness,98.44,695966,0
2023-09,Advisor,Uniqueness,89.92,108244,414
2023-09,Advisor,Validity,93.98,147775,176
2023-09,Advisor,Timeliness,93.8,961656,396
2023-09,Advisor,Consistency,93.14,1210114,251
2023-09,Employer,Completeness,90.92,260036,627
2023-09,Employer,Uniqueness,93.39,651119,436
2023-09,Employer,Validity,82.93,887137,605
2023-09,Employer,Timeliness,91.42,277216,239
2023-09,Employer,Consistency,88.16,306659,186
2023-09,Transactions,Completeness,87.25,1225272,305
2023-09,Transactions,Uniqueness,87.17,146313,479
2023-09,Transactions,Validity,86.24,1222128,385
2023-09,Transactions,Timeliness,87.21,681899,656
2023-09,Transactions,Consistency,88.22,667999,463
2023-10,Client Master,Completeness,90.61,1445044,209
2023-10,Client Master,Uniqueness,91.1,1133044,234
2023-10,Client Master,Validity,91.3,159300,176
2023-10,Client Master,Timeliness,90.6,1327280,249
2023-10,Client Master,Consistency,91.24,479976,405
2023-10,Policy Admin,Completeness,88.4,830271,324
2023-10,Policy Admin,Uniqueness,89.44,135363,537
2023-10,Policy Admin,Validity,93.6,1166862,255
2023-10,Policy Admin,Timeliness,90.81,904888,275
2023-10,Policy Admin,Consistency,87.32,254916,428
2023-10,Claims,Completeness,79.66,1290129,870
2023-10,Claims,Uniqueness,88.35,510715,464
2023-10,Claims,Validity,87.88,544275,502
2023-10,Claims,Timeliness,85.92,1253074,565
2023-10,Claims,Consistency,88.65,1111869,426
2023-10,Advisor,Completeness,96.12,1160597,232
2023-10,Advisor,Uniqueness,95.83,664991,198
2023-10,Advisor,Validity,95.89,1272726,86
2023-10,Advisor,Timeliness,96.87,1408384,284
2023-10,Advisor,Consistency,97.52,1194520,94
2023-10,Employer,Completeness,91.65,1268245,260
2023-10,Employer,Uniqueness,90.37,1180860,242
2023-10,Employer,Validity,90.48,1553964,324
2023-10,Employer,Timeliness,94.03,1112833,195
2023-10,Employer,Consistency,91.48,806651,317
2023-10,Transactions,Completeness,85.86,1523381,527
2023-10,Transactions,Uniqueness,89.45,1032879,295
2023-10,Transactions,Validity,87.28,1187785,395
2023-10,Transactions,Timeliness,86.86,811726,657
2023-10,Transactions,Consistency,85.28,600852,518
2023-11,Client Master,Completeness,93.26,1589929,144
2023-11,Client Master,Uniqueness,92.85,710630,158
2023-11,Client Master,Validity,91.49,977365,285
2023-11,Client Master,Timeliness,90.92,1048389,389
2023-11,Client Master,Consistency,92.39,704900,230
2023-11,Policy Admin,Completeness,87.12,642164,406
2023-11,Policy Admin,Uniqueness,92.82,264509,408
2023-11,Policy Admin,Validity,90.81,1471599,319
2023-11,Policy Admin,Timeliness,83.08,529003,856
2023-11,Policy Admin,Consistency,87.89,1130882,510
2023-11,Claims,Completeness,89.86,1394942,5
2023-11,Claims,Uniqueness,87.98,1292366,407
2023-11,Claims,Validity,88.58,883625,498
2023-11,Claims,Timeliness,89.68,134482,351
2023-11,Claims,Consistency,90.92,1142776,354
2023-11,Advisor,Completeness,94.78,672877,210
2023-11,Advisor,Uniqueness,97.61,1288935,197
2023-11,Advisor,Validity,94.43,517473,239
2023-11,Advisor,Timeliness,96.38,87511,294
2023-11,Advisor,Consistency,98.17,191890,0
2023-11,Employer,Completeness,89.36,576199,465
2023-11,Employer,Uniqueness,94.93,933029,204
2023-11,Employer,Validity,92.75,876007,275
2023-11,Employer,Timeliness,89.09,633922,255
2023-11,Employer,Consistency,88.75,814703,476
2023-11,Transactions,Completeness,86.91,1337459,610
2023-11,Transactions,Uniqueness,86.24,430129,366
2023-11,Transactions,Validity,87.45,361176,426
2023-11,Transactions,Timeliness,86.34,208500,526
2023-11,Transactions,Consistency,84.13,249575,462
2023-12,Client Master,Completeness,95.93,827339,0
2023-12,Client Master,Uniqueness,91.29,622062,113
2023-12,Client Master,Validity,92.91,1095021,150
2023-12,Client Master,Timeliness,90.27,1114556,160
2023-12,Client Master,Consistency,95.55,1128102,269
2023-12,Policy Admin,Completeness,91.26,1208642,293
2023-12,Policy Admin,Uniqueness,89.19,1458470,328
2023-12,Policy Admin,Validity,87.23,1501357,523
2023-12,Policy Admin,Timeliness,89.0,725038,576
2023-12,Policy Admin,Consistency,89.7,728716,512
2023-12,Claims,Completeness,92.08,935447,306
2023-12,Claims,Uniqueness,88.95,1260566,132
2023-12,Claims,Validity,85.5,173376,669
2023-12,Claims,Timeliness,89.2,526694,285
2023-12,Claims,Consistency,90.25,1448400,576
2023-12,Advisor,Completeness,97.11,842099,150
2023-12,Advisor,Uniqueness,95.19,766777,103
2023-12,Advisor,Validity,93.1,1526994,356
2023-12,Advisor,Timeliness,95.73,1188692,109
2023-12,Advisor,Consistency,96.63,711509,231
2023-12,Employer,Completeness,92.75,1108146,394
2023-12,Employer,Uniqueness,83.31,283824,736
2023-12,Employer,Validity,91.21,1487135,208
2023-12,Employer,Timeliness,91.76,824284,167
2023-12,Employer,Consistency,91.73,230270,295
2023-12,Transactions,Completeness,87.32,883314,299
2023-12,Transactions,Uniqueness,85.01,1178894,525
2023-12,Transactions,Validity,83.76,821377,376
2023-12,Transactions,Timeliness,88.04,473023,367
2023-12,Transactions,Consistency,88.53,306129,485
2024-01,Client Master,Completeness,90.12,410365,435
2024-01,Client Master,Uniqueness,93.0,1165357,278
2024-01,Client Master,Validity,88.38,542605,456
2024-01,Client Master,Timeliness,86.84,1313114,497
2024-01,Client Master,Consistency,93.64,918521,85
2024-01,Policy Admin,Completeness,90.47,1001014,332
2024-01,Policy Admin,Uniqueness,88.92,93127,301
2024-01,Policy Admin,Validity,93.3,671848,300
2024-01,Policy Admin,Timeliness,89.01,331691,369
2024-01,Policy Admin,Consistency,88.99,476169,459
2024-01,Claims,Completeness,90.51,582981,240
2024-01,Claims,Uniqueness,87.92,1005003,397
2024-01,Claims,Validity,87.99,656864,416
2024-01,Claims,Timeliness,91.46,594641,376
2024-01,Claims,Consistency,87.38,1199133,701
2024-01,Advisor,Completeness,97.41,802842,0
2024-01,Advisor,Uniqueness,96.13,1422785,0
2024-01,Advisor,Validity,93.6,990200,298
2024-01,Advisor,Timeliness,96.61,1329153,208
2024-01,Advisor,Consistency,91.77,1035236,47
2024-01,Employer,Completeness,91.07,270885,247
2024-01,Employer,Uniqueness,89.7,829525,284
2024-01,Employer,Validity,89.12,1491761,334
2024-01,Employer,Timeliness,93.01,101837,195
2024-01,Employer,Consistency,89.9,673529,236
2024-01,Transactions,Completeness,88.31,627692,240
2024-01,Transactions,Uniqueness,87.55,1273047,263
2024-01,Transactions,Validity,85.1,415375,647
2024-01,Transactions,Timeliness,85.17,1431762,444
2024-01,Transactions,Consistency,88.0,1190107,318
2024-02,Client Master,Completeness,91.87,127779,409
2024-02,Client Master,Uniqueness,93.18,283941,44
2024-02,Client Master,Validity,91.6,1350263,369
2024-02,Client Master,Timeliness,91.85,1020855,373
2024-02,Client Master,Consistency,92.91,447319,413
2024-02,Policy Admin,Completeness,89.74,1014222,331
2024-02,Policy Admin,Uniqueness,88.32,1514837,417
2024-02,Policy Admin,Validity,83.53,768568,503
2024-02,Policy Admin,Timeliness,89.61,374526,239
2024-02,Policy Admin,Consistency,90.12,1485051,526
2024-02,Claims,Completeness,88.49,533212,444
2024-02,Claims,Uniqueness,86.58,560240,598
2024-02,Claims,Validity,89.85,1414781,395
2024-02,Claims,Timeliness,87.64,1370172,217
2024-02,Claims,Consistency,87.08,581779,223
2024-02,Advisor,Completeness,94.04,712062,505
2024-02,Advisor,Uniqueness,92.83,156139,88
2024-02,Advisor,Validity,93.09,1062816,135
2024-02,Advisor,Timeliness,93.81,289211,392
2024-02,Advisor,Consistency,96.81,1593372,146
2024-02,Employer,Completeness,88.39,710724,331
2024-02,Employer,Uniqueness,90.58,97198,267
2024-02,Employer,Validity,92.69,788898,316
2024-02,Employer,Timeliness,88.53,140224,358
2024-02,Employer,Consistency,92.56,1365016,161
2024-02,Transactions,Completeness,89.64,96923,116
2024-02,Transactions,Uniqueness,86.18,1007321,511
2024-02,Transactions,Validity,86.24,137451,491
2024-02,Transactions,Timeliness,88.8,1092779,474
2024-02,Transactions,Consistency,88.49,888922,317
2024-03,Client Master,Completeness,91.44,669630,217
2024-03,Client Master,Uniqueness,94.26,1117914,300
2024-03,Client Master,Validity,92.67,1537694,104
2024-03,Client Master,Timeliness,92.12,1164866,206
2024-03,Client Master,Consistency,91.01,997826,233
2024-03,Policy Admin,Completeness,90.36,489610,405
2024-03,Policy Admin,Uniqueness,91.73,415249,193
2024-03,Policy Admin,Validity,91.07,1462226,415
2024-03,Policy Admin,Timeliness,87.37,1576384,470
2024-03,Policy Admin,Consistency,90.07,578016,316
2024-03,Claims,Completeness,86.43,557272,545
2024-03,Claims,Uniqueness,86.22,606691,561
2024-03,Claims,Validity,87.27,1432631,495
2024-03,Claims,Timeliness,88.04,1450027,593
2024-03,Claims,Consistency,91.54,232400,303
2024-03,Advisor,Completeness,92.29,659521,264
2024-03,Advisor,Uniqueness,94.82,433510,226
2024-03,Advisor,Validity,93.44,576354,174
2024-03,Advisor,Timeliness,96.69,1010760,226
2024-03,Advisor,Consistency,93.31,1220804,107
2024-03,Employer,Completeness,92.82,801474,7
2024-03,Employer,Uniqueness,91.59,678808,301
2024-03,Employer,Validity,91.29,381613,333
2024-03,Employer,Timeliness,91.73,1279494,161
2024-03,Employer,Consistency,93.01,939167,213
2024-03,Transactions,Completeness,86.3,552710,346
2024-03,Transactions,Uniqueness,88.78,662320,422
2024-03,Transactions,Validity,84.3,507855,686
2024-03,Transactions,Timeliness,87.01,1285998,658
2024-03,Transactions,Consistency,90.81,1278524,246
2024-04,Client Master,Completeness,92.36,542391,186
2024-04,Client Master,Uniqueness,91.89,530959,166
2024-04,Client Master,Validity,93.65,382135,186
2024-04,Client Master,Timeliness,91.64,776969,271
2024-04,Client Master,Consistency,98.05,1339991,197
2024-04,Policy Admin,Completeness,89.41,1336528,405
2024-04,Policy Admin,Uniqueness,91.83,1206041,312
2024-04,Policy Admin,Validity,91.63,1098234,168
2024-04,Policy Admin,Timeliness,90.66,1007794,357
2024-04,Policy Admin,Consistency,90.09,416427,424
2024-04,Claims,Completeness,86.82,157938,495
2024-04,Claims,Uniqueness,86.15,591330,529
2024-04,Claims,Validity,88.7,1016754,446
2024-04,Claims,Timeliness,86.96,891648,422
2024-04,Claims,Consistency,86.97,1462742,488
2024-04,Advisor,Completeness,93.13,660230,131
2024-04,Advisor,Uniqueness,94.72,1447403,204
2024-04,Advisor,Validity,96.44,1389730,115
2024-04,Advisor,Timeliness,92.76,1062629,320
2024-04,Advisor,Consistency,96.4,198216,196
2024-04,Employer,Completeness,88.93,1539310,295
2024-04,Employer,Uniqueness,90.97,1459243,238
2024-04,Employer,Validity,90.64,295546,386
2024-04,Employer,Timeliness,89.85,1276303,480
2024-04,Employer,Consistency,89.38,1532195,341
2024-04,Transactions,Completeness,84.52,1047775,606
2024-04,Transactions,Uniqueness,90.3,1260840,343
2024-04,Transactions,Validity,87.63,709209,431
2024-04,Transactions,Timeliness,87.97,1378101,476
2024-04,Transactions,Consistency,86.39,365516,366
2024-05,Client Master,Completeness,92.61,1228108,412
2024-05,Client Master,Uniqueness,89.23,1410820,305
2024-05,Client Master,Validity,93.89,287453,155
2024-05,Client Master,Timeliness,91.69,357939,306
2024-05,Client Master,Consistency,94.52,1121292,0
2024-05,Policy Admin,Completeness,88.94,1484303,469
2024-05,Policy Admin,Uniqueness,92.46,95257,297
2024-05,Policy Admin,Validity,92.4,1147600,398
2024-05,Policy Admin,Timeliness,90.54,218407,317
2024-05,Policy Admin,Consistency,90.2,1307955,477
2024-05,Claims,Completeness,89.25,107744,396
2024-05,Claims,Uniqueness,89.07,1097454,188
2024-05,Claims,Validity,93.14,1317803,199
2024-05,Claims,Timeliness,87.82,442810,454
2024-05,Claims,Consistency,85.56,1234603,439
2024-05,Advisor,Completeness,94.84,823433,218
2024-05,Advisor,Uniqueness,94.64,364830,84
2024-05,Advisor,Validity,92.8,664015,54
2024-05,Advisor,Timeliness,96.61,1522706,0
2024-05,Advisor,Consistency,95.81,1492648,0
2024-05,Employer,Completeness,90.69,1005956,124
2024-05,Employer,Uniqueness,82.46,1311642,547
2024-05,Employer,Validity,88.84,1484668,609
2024-05,Employer,Timeliness,91.21,1251878,318
2024-05,Employer,Consistency,87.9,944043,548
2024-05,Transactions,Completeness,87.26,146953,435
2024-05,Transactions,Uniqueness,85.87,597846,457
2024-05,Transactions,Validity,89.8,1046778,532
2024-05,Transactions,Timeliness,86.02,597572,340
2024-05,Transactions,Consistency,87.08,301691,448
2024-06,Client Master,Completeness,95.18,1301187,69
2024-06,Client Master,Uniqueness,89.87,1215828,217
2024-06,Client Master,Validity,91.56,1260830,400
2024-06,Client Master,Timeliness,92.3,544945,54
2024-06,Client Master,Consistency,95.25,1264022,0
2024-06,Policy Admin,Completeness,90.36,491951,404
2024-06,Policy Admin,Uniqueness,89.61,1220252,206
2024-06,Policy Admin,Validity,88.14,794906,288
2024-06,Policy Admin,Timeliness,90.96,1063585,354
2024-06,Policy Admin,Consistency,92.55,827473,74
2024-06,Claims,Completeness,86.06,428213,340
2024-06,Claims,Uniqueness,86.07,209881,427
2024-06,Claims,Validity,87.64,689529,714
2024-06,Claims,Timeliness,85.1,841935,414
2024-06,Claims,Consistency,88.91,529466,293
2024-06,Advisor,Completeness,93.79,146348,226
2024-06,Advisor,Uniqueness,95.9,801318,31
2024-06,Advisor,Validity,97.92,1052903,0
2024-06,Advisor,Timeliness,94.3,339265,206
2024-06,Advisor,Consistency,94.87,1086776,28
2024-06,Employer,Completeness,89.75,1367991,318
2024-06,Employer,Uniqueness,91.58,123752,294
2024-06,Employer,Validity,90.39,920984,396
2024-06,Employer,Timeliness,92.69,286877,244
2024-06,Employer,Consistency,90.51,994246,365
2024-06,Transactions,Completeness,87.41,403643,354
2024-06,Transactions,Uniqueness,88.02,564020,292
2024-06,Transactions,Validity,87.73,844523,520
2024-06,Transactions,Timeliness,89.16,1565244,598
2024-06,Transactions,Consistency,84.63,822052,564
2024-07,Client Master,Completeness,91.83,1002171,301
2024-07,Client Master,Uniqueness,90.87,977862,429
2024-07,Client Master,Validity,94.82,674853,155
2024-07,Client Master,Timeliness,92.58,964413,263
2024-07,Client Master,Consistency,93.12,1104715,334
2024-07,Policy Admin,Completeness,87.61,1184143,554
2024-07,Policy Admin,Uniqueness,88.27,1132315,518
2024-07,Policy Admin,Validity,89.63,1156450,421
2024-07,Policy Admin,Timeliness,89.03,574692,270
2024-07,Policy Admin,Consistency,88.02,1051720,283
2024-07,Claims,Completeness,90.76,1322738,314
2024-07,Claims,Uniqueness,88.23,1385847,440
2024-07,Claims,Validity,86.99,438657,334
2024-07,Claims,Timeliness,84.62,424746,619
2024-07,Claims,Consistency,90.03,235061,389
2024-07,Advisor,Completeness,98.01,1405067,83
2024-07,Advisor,Uniqueness,97.0,1147398,71
2024-07,Advisor,Validity,94.9,897805,58
2024-07,Advisor,Timeliness,96.92,1195803,114
2024-07,Advisor,Consistency,93.63,603554,428
2024-07,Employer,Completeness,91.54,295969,341
